City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
262,Sahuaripa,MX,2022-04-24 15:29:01,29.05,-109.2333,70.79,33,0,1.19
263,Matamoros,MX,2022-04-24 15:25:14,25.5333,-103.25,82.51,12,0,6.91
264,Goure,NE,2022-04-24 15:29:02,13.9835,10.2704,108.01,7,58,9.01
265,Chester,US,2022-04-24 15:30:03,40.1254,-75.8749,66.99,63,0,3.0
266,Caravelas,BR,2022-04-24 15:30:03,-17.7125,-39.2481,88.41,55,16,9.26
267,Abapo,BO,2022-04-24 15:30:04,-18.8333,-63.4667,90.77,36,21,4.74
268,Vanimo,PG,2022-04-24 15:30:05,-2.6741,141.3028,79.41,84,79,4.72
269,Port Hedland,AU,2022-04-24 15:30:06,-20.3167,118.5667,75.25,78,0,8.05
270,San Patricio,US,2022-04-24 15:30:07,28.017,-97.5169,82.26,65,57,22.15
271,Mendoza,AR,2022-04-24 15:30:07,-32.8908,-68.8272,67.53,56,0,3.44
272,Port Hardy,CA,2022-04-24 15:30:08,50.6996,-127.4199,46.58,81,75,11.5
273,Santa Fe,AR,2022-04-24 15:27:31,-31.6333,-60.7,75.02,49,0,7.0
274,Codrington,AU,2022-04-24 15:30:08,-38.2667,141.9667,48.58,93,1,7.52
275,Fairbanks,US,2022-04-24 15:30:09,64.8378,-147.7164,33.1,80,0,0.0
276,Morlenbach,DE,2022-04-24 15:30:09,49.5992,8.7347,54.63,80,100,1.99
277,Tabou,CI,2022-04-24 15:30:10,4.423,-7.3528,85.96,69,94,12.08
278,Shibetsu,JP,2022-04-24 15:30:10,43.659,145.132,43.75,78,100,6.17
279,Broome,US,2022-04-24 15:30:10,42.2506,-75.833,67.55,53,82,5.01
280,Torzhok,RU,2022-04-24 15:30:11,57.0436,34.9622,46.6,97,100,7.92
281,Kloulklubed,PW,2022-04-24 15:30:11,7.0419,134.2556,77.5,78,100,11.3
282,Tecolutla,MX,2022-04-24 15:30:12,20.4833,-97.0167,82.26,63,1,3.62
283,Yuxia,CN,2022-04-24 15:30:12,34.0615,108.6291,66.81,64,71,4.61
284,Okhotsk,RU,2022-04-24 15:30:13,59.3833,143.3,21.69,98,43,4.21
285,Kontagora,NG,2022-04-24 15:30:13,10.3999,5.4695,96.64,32,95,9.42
286,Walvis Bay,NA,2022-04-24 15:30:13,-22.9575,14.5053,67.15,52,0,14.97
287,Wladyslawowo,PL,2022-04-24 15:30:14,54.7909,18.4009,47.75,89,57,15.32
288,Bondoukou,CI,2022-04-24 15:30:14,8.0333,-2.8,79.21,79,100,6.85
289,Roncesvalles,CO,2022-04-24 15:30:15,4.0108,-75.6049,59.29,86,95,1.57
290,Jaypur,IN,2022-04-24 15:30:15,18.85,82.5833,88.77,30,92,3.44
